image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2024-10041,libpam-modules,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-22365,libpam-modules,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6020,libpam-modules-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-10041,libpam-modules-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-22365,libpam-modules-bin,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6020,libpam-runtime,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-10041,libpam-runtime,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-22365,libpam-runtime,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6020,libpam0g,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-10041,libpam0g,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-22365,libpam0g,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-28085,libsmartcols1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-27456,libsmartcols1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-3184,libsmartcols1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-0563,libsmartcols1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-14104,libsmartcols1,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-6965,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-7458,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-7104,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-7709,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2021-45346,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-29088,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-70873,libsqlite3-0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-15467,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-31789,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-6119,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69419,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69421,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-28387,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-28388,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-28389,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-28390,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-5678,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-6129,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-6237,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-0727,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-13176,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-4603,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-4741,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-5535,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-68160,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69418,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-69420,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-9230,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-22795,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-22796,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-31790,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-2511,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-9143,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-27587,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-9232,libssl3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2022-27943,libstdc++6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-4039,libstdc++6,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50387,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2023-50868,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-29111,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-4598,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40225,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40226,libsystemd0,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-4105,libsystemd0,2,"grype,trivy"
